cat,sub_type,type
Authorities,Authorities,Expenses
Bar&cocktails,Entertainment,Expenses
Café&restaurant,Food,Expenses
Car,Transportation,Expenses
Cloathing&Beauty,Personal,Expenses
Crypto,Investing,Investing
Entertainment,Entertainment,Expenses
Feriekonto,Authorities,Income
Flights,Transportation,Expenses
Furniture&home,Housing,Expenses
Groceries,Food,Expenses
Health,Medical,Expenses
Hotels&Airbnb,Entertainment,Expenses
Housing&bills,Housing,Expenses
Income,Income,Income
Investing,Investing,Investing
Misc,Personal,Expenses
Mobilepay,Personal,Expenses
Present,Personal,Expenses
Rent,Housing,Expenses
Salary,Income,Income
Savings,Saving,Savings
SKAT,Authorities,Income
Sport,Entertainment,Expenses
SU,Authorities,Income
Subscriptions,Entertainment,Expenses
Transportation,Transportation,Expenses